    PID TTY      STAT   TIME COMMAND
   2978 ?        I<     0:00 [mkey_cache]
   2979 ?        I<     0:00 [ib_mad1]
   2980 ?        I<     0:00 [to_fifo]
   2982 ?        I<     0:00 [mkey_cache]
   2983 ?        I<     0:00 [ib_mad1]
   2984 ?        I<     0:00 [to_fifo]
   2986 ?        I<     0:00 [mkey_cache]
   2991 ?        S      0:00 [nvidia-modeset/]
   2992 ?        S      0:00 [nvidia-modeset/]
   2996 ?        S      0:00 [UVM global queu]
   2997 ?        S      0:00 [UVM deferred re]
   2998 ?        S      0:00 [UVM Tools Event]
   3002 ?        I<     0:00 [kaluad]
   3003 ?        I<     0:00 [kmpath_rdacd]
   3004 ?        I<     0:00 [kmpathd]
   3005 ?        I<     0:00 [kmpath_handlerd]
   3006 ?        SLsl   0:32 /sbin/multipathd -d -s
   3007 ?        I<     0:00 [kworker/12:1H-kblockd]
   3017 ?        S<     0:00 [loop0]
   3018 ?        S      0:00 [jbd2/sdb1-8]
   3020 ?        I<     0:00 [ext4-rsv-conver]
   3023 ?        S<     0:00 [loop1]
   3027 ?        S<     0:00 [loop2]
   3029 ?        I<     0:00 [kworker/63:1H-kblockd]
   3035 ?        I<     0:00 [kworker/17:1H-kblockd]
   3036 ?        S<     0:00 [loop3]
   3037 ?        S<     0:00 [loop4]
   3038 ?        I<     0:00 [kworker/2:1H-kblockd]
   3041 ?        S<     0:00 [loop5]
   3075 ?        S      0:00 bpfilter_umh
   3093 ?        Ss     0:03 /sbin/rpcbind -f -w
   3098 ?        Ssl    0:01 /lib/systemd/systemd-timesyncd
   3103 ?        Ss     0:06 /lib/systemd/systemd-networkd
   3146 ?        Ss     0:10 /lib/systemd/systemd-resolved
   3319 ?        Ss     0:06 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   3346 ?        Ssl    5:42 /usr/sbin/irqbalance --foreground
   3384 ?        Ss     0:02 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   3406 ?        Ssl   46:40 /usr/bin/nv-hostengine -n --service-account nvidia-dcgm
   3440 ?        I<     0:00 [kworker/61:1H-kblockd]
   3451 ?        I<     0:00 [kworker/25:1H-kblockd]
   3459 ?        I<     0:00 [kworker/34:1H-events_highpri]
   3477 ?        I<     0:00 [kworker/23:1H-kblockd]
   3505 ?        S      4:58 [irq/536-nvidia]
   3506 ?        S      0:00 [nvidia]
   3507 ?        S    101:39 [nv_queue]
   3509 ?        I<     0:00 [rdma_cm]
   3512 ?        Ss     0:00 /usr/sbin/rasdaemon -f -r
   3519 ?        I<     0:00 [kworker/35:1H-events_highpri]
   3523 ?        Ssl    0:12 /usr/sbin/rsyslogd -n -iNONE
   3524 ?        Ss     0:00 /usr/sbin/smartd -n
   3526 ?        Ssl    0:59 /usr/lib/snapd/snapd
   3527 ?        I<     0:00 [kworker/66:1H-kblockd]
   3536 ?        Ssl    0:03 /usr/lib/udisks2/udisksd
   3537 ?        I<     0:00 [kworker/33:1H-kblockd]
   3547 ?        I<     0:00 [kworker/77:1H-events_highpri]
   3560 ?        I<     0:00 [kworker/22:1H-events_highpri]
   3582 ?        I<     0:00 [kworker/64:1H-kblockd]
   3585 ?        I<     0:00 [kworker/79:1H-events_highpri]
   3587 ?        Ss     0:00 lldpd: monitor. 
   3590 ?        Ssl    9:08 nvsm_apis_mosquitto -p 159 -c /etc/nvsm/nvsm-mqtt.config
   3595 ?        SLsl  90:07 /usr/sbin/nvsm_core --mode=server SERVE
   3599 ?        Ssl    0:00 /usr/lib/policykit-1/polkitd --no-debug
   3605 ?        Ssl    2:25 /usr/bin/python3 /usr/bin/fail2ban-server -xf start
   3629 ?        I<     0:00 [kworker/8:1H-events_highpri]
   3634 ?        I<     0:00 [kworker/27:1H-events_highpri]
   3639 ?        S      0:05 lldpd: connected to mcconnell-207-sw1.gw.mcgill.ca.
   3652 ?        I<     0:00 [kworker/70:1H-kblockd]
   3711 ?        I<     0:00 [kworker/67:1H-events_highpri]
   3712 ?        I<     0:00 [kworker/68:1H-kblockd]
   3724 ?        I<     0:00 [kworker/24:1H-kblockd]
   3725 ?        I<     0:00 [kworker/26:1H-kblockd]
   3731 ?        I<     0:00 [kworker/31:1H-kblockd]
   3748 ?        I<     0:00 [kworker/37:1H-kblockd]
   3749 ?        I<     0:00 [kworker/39:1H-kblockd]
   3761 ?        S      2:26 [irq/537-nvidia]
   3762 ?        S      0:00 [nvidia]
   3763 ?        S     42:28 [nv_queue]
   3812 ?        I<     0:00 [kworker/78:1H-kblockd]
   3880 ?        S      1:17 [irq/538-nvidia]
   3881 ?        S      0:00 [nvidia]
   3882 ?        S     18:14 [nv_queue]
   3895 ?        S      1:19 [irq/539-nvidia]
   3896 ?        S      0:00 [nvidia]
   3897 ?        S     19:26 [nv_queue]
   3918 ?        I<     0:00 [kworker/54:1H-kblockd]
   3928 ?        S      1:06 [irq/540-nvidia]
   3929 ?        S      0:00 [nvidia]
   3930 ?        S     13:40 [nv_queue]
   3936 ?        S      0:47 [irq/541-nvidia]
   3937 ?        S      0:00 [nvidia]
   3938 ?        S      6:17 [nv_queue]
   3944 ?        S      0:58 [irq/542-nvidia]
   3945 ?        S      0:00 [nvidia]
   3946 ?        S     12:40 [nv_queue]
   3948 ?        Ssl    1:58 /usr/sbin/mosquitto -c /etc/mosquitto/mosquitto.conf
   3949 ?        Ss     0:40 /usr/sbin/nmbd --foreground --no-process-group
   3956 ?        Ss     0:01 /usr/sbin/sssd -i --logger=files
   3959 ?        Ss     0:02 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   3960 ?        S      0:11 /usr/libexec/sssd/sssd_be --domain cs.mcgill.ca --uid 0 --gid 0 --logger=files
   3965 ?        Ss     0:00 /usr/sbin/smbd --foreground --no-process-group
   3966 ?        S      0:08 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
   3968 ?        S      0:04 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --logger=files
   3969 ?        S      0:03 /usr/libexec/sssd/sssd_sudo --uid 0 --gid 0 --logger=files
   3980 ?        S      0:00 /usr/sbin/smbd --foreground --no-process-group
   3981 ?        S      0:00 /usr/sbin/smbd --foreground --no-process-group
   3985 ?        Ssl    0:11 /usr/lib/accountsservice/accounts-daemon
   3986 ?        Ss     0:03 /lib/systemd/systemd-logind
   4002 ?        S      0:18 /usr/sbin/smbd --foreground --no-process-group
   4011 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   4014 ?        S      0:58 [irq/543-nvidia]
   4015 ?        S      0:00 [nvidia]
   4016 ?        S     11:23 [nv_queue]
   4033 ?        Ss     0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --persistence-mode --verbose
   4048 ?        Ssl    4:16 /usr/bin/containerd
   4049 ?        I<     0:00 [nfsiod]
   4079 ?        Ss     0:00 /sbin/rpc.statd --no-notify
   4080 ?        Ssl   41:15 /usr/bin/dockerd -H fd:// -s overlay2 --default-shm-size=1G --bip=172.17.0.1/16 --fixed-cidr=172.17.0.0/16
   4085 ?        S      0:00 [lockd]
   4093 ?        Ss     0:00 /usr/sbin/cron -f
   4096 ?        Ssl   18:33 /usr/sbin/automount --pid-file /var/run/autofs.pid
   4100 ?        Ss     0:00 /usr/sbin/nrpe -c /etc/nagios/nrpe.cfg -f
   4105 ?        Ss     0:19 /usr/sbin/kerneloops --test
   4109 ?        Ss     0:00 /usr/sbin/atd -f
   4115 ?        Ss     0:19 /usr/sbin/kerneloops
   4135 ttyS1    Ss+    0:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyS1 vt220
   4139 tty1     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
   4144 ?        Ss     0:00 /sbin/cachefilesd
   5136 ?        SLsl  17:18 /usr/sbin/nvsm_api_gateway
   5139 ?        Ssl    0:37 /usr/bin/python3 /usr/sbin/notifier_nvsm
  11830 ?        I<     0:00 [kworker/u165:1-xprtiod]
  42135 ?        S      0:02 /usr/libexec/sssd/sssd_autofs --uid 0 --gid 0 --logger=files
1268775 tty2     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear tty2 linux
2572371 ?        Ss     0:07 /lib/systemd/systemd --user
2572374 ?        S      0:00 (sd-pam)
2573436 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
2746309 ?        S      0:00 sh /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/bin/code-server --start-server --host=127.0.0.1 --accept-server-license-terms --enable-remote-auto-shutdown --port=0 --telemetry-level all --connection-token-file /home/2020/rdeng4/.vscode-server/.e4503b30fc78200f846c62cf8091b76ff5547662.token
2746319 ?        Sl     2:39 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/server-main.js --start-server --host=127.0.0.1 --accept-server-license-terms --enable-remote-auto-shutdown --port=0 --telemetry-level all --connection-token-file /home/2020/rdeng4/.vscode-server/.e4503b30fc78200f846c62cf8091b76ff5547662.token
2746450 ?        Sl     1:34 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=ptyHost --logsPath /home/2020/rdeng4/.vscode-server/data/logs/20220824T133630
2817162 ?        I<     0:21 [kworker/u164:2-xprtiod]
3161465 ?        Ss     0:00 tmux new-session -d -s imseg
3311352 ?        Ss     0:00 sshd: rdeng4 [priv]
3311489 ?        S      0:13 sshd: rdeng4@notty
3311490 ?        Ss     0:00 bash
3311542 ?        Sl     2:30 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false
3311553 ?        Sl     2:51 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=fileWatcher
3311731 ?        Sl     0:01 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=3311542
3311786 pts/4    Ss+    0:00 /usr/bin/bash --init-file /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3401257 pts/5    Ss+    0:00 /usr/bin/bash --init-file /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3430802 pts/7    Ss+    0:00 /usr/bin/bash --init-file /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3430894 ?        Sl     0:55 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/extensions/ms-azuretools.vscode-docker-1.22.1/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=3311542
3430910 ?        Sl     0:00 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/extensions/ms-azuretools.vscode-docker-1.22.1/dist/compose-language-service/lib/server.js --node-ipc --node-ipc --clientProcessId=3311542
3432684 ?        I      0:00 [kworker/29:1-rcu_gp]
3440415 pts/0    Ss+    0:00 /usr/bin/bash --init-file /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3441598 pts/8    Ss+    0:00 -bash
3448149 pts/13   Ss+    0:00 -bash
3473975 ?        I      0:00 [kworker/70:4-rcu_par_gp]
3481048 ?        I      0:00 [kworker/48:6-rcu_par_gp]
3505987 ?        I      0:00 [kworker/21:6-rcu_par_gp]
3532968 ?        I      0:00 [kworker/8:6-rcu_par_gp]
3532988 ?        I      0:00 [kworker/7:6-events]
3628324 ?        Ss     0:01 /lib/systemd/systemd --user
3628329 ?        S      0:00 (sd-pam)
3628585 ?        S      0:00 sh /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/bin/code-server --start-server --host=127.0.0.1 --accept-server-license-terms --enable-remote-auto-shutdown --port=0 --telemetry-level all --connection-token-file /home/2020/ychen383/.vscode-server/.e4503b30fc78200f846c62cf8091b76ff5547662.token
3628595 ?        Sl     1:07 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/server-main.js --start-server --host=127.0.0.1 --accept-server-license-terms --enable-remote-auto-shutdown --port=0 --telemetry-level all --connection-token-file /home/2020/ychen383/.vscode-server/.e4503b30fc78200f846c62cf8091b76ff5547662.token
3629059 ?        Sl     0:11 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=ptyHost --logsPath /home/2020/ychen383/.vscode-server/data/logs/20220825T092915
3629274 pts/16   Ss+    0:00 /usr/bin/bash --init-file /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3629291 ?        I<     0:04 [kworker/u164:1-xprtiod]
3678589 ?        I      0:00 [kworker/75:1-mm_percpu_wq]
3703526 ?        Ss     0:00 sshd: zdouce [priv]
3704027 ?        Ss     0:01 /lib/systemd/systemd --user
3704030 ?        S      0:00 (sd-pam)
3704176 ?        S      0:01 sshd: zdouce@pts/17
3704178 pts/17   Ss     0:00 -bash
3704302 ?        Ss     0:00 sshd: zdouce [priv]
3704346 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
3704436 ?        S      0:00 sshd: zdouce@pts/19
3704437 pts/19   Ss     0:00 -bash
3704980 ?        I      0:01 [kworker/u161:0-events_unbound]
3713820 ?        I      0:00 [kworker/71:0-rcu_par_gp]
3714228 ?        I      0:00 [kworker/76:0-rcu_par_gp]
3714347 ?        I      0:00 [kworker/12:2-rcu_gp]
3714580 ?        I      0:00 [kworker/17:1-events]
3722513 ?        I      0:00 [kworker/53:12-events]
3723201 ?        I      0:00 [kworker/9:3-rcu_par_gp]
3724844 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 65fd3a11849928abf548b2ccc7109f74a72547387f2362faae9c89a93c560a05 -address /run/containerd/containerd.sock
3724872 pts/0    Ss+    0:00 /bin/bash
3726028 ?        I      0:06 [kworker/u162:4-flush-0:55]
3726189 ?        I      0:00 [kworker/59:0-events]
3727795 ?        I      0:00 [kworker/45:1-events]
3729260 ?        I      0:00 [kworker/22:1-rcu_par_gp]
3730583 ?        I      0:00 [kworker/39:2-rcu_gp]
3730734 ?        I      0:00 [kworker/77:2-mm_percpu_wq]
3730763 ?        I      0:00 [kworker/61:1-rcu_gp]
3730804 pts/15   Ss+    0:00 -bash
3730955 ?        I      0:00 [kworker/42:0-mm_percpu_wq]
3731284 ?        I      0:00 [kworker/65:0-rcu_par_gp]
3731287 ?        I      0:00 [kworker/69:0-rcu_par_gp]
3740234 ?        I      0:00 [kworker/38:0-mm_percpu_wq]
3740615 ?        I      0:00 [kworker/68:3-mm_percpu_wq]
3740616 ?        I      0:00 [kworker/6:0-events]
3740635 ?        I      0:00 [kworker/74:0-rcu_par_gp]
3741008 ?        I      0:00 [kworker/50:2-mm_percpu_wq]
3741230 ?        I      0:00 [kworker/66:0-rcu_par_gp]
3741937 ?        I      0:00 [kworker/56:1-rcu_par_gp]
3742924 ?        I      0:00 [kworker/5:1-events]
3743063 ?        I      0:00 [kworker/78:2-mm_percpu_wq]
3743140 ?        I      0:00 [kworker/33:2-rcu_gp]
3743250 ?        Ss     0:00 sshd: ychen383 [priv]
3743344 ?        S      0:05 sshd: ychen383@notty
3743345 ?        Ss     0:00 -bash
3743348 ?        S      0:00 bash
3743461 ?        Sl     0:49 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false
3743475 ?        Sl     0:00 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=fileWatcher
3745846 ?        Sl     0:27 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false
3745859 ?        Sl     0:00 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/bootstrap-fork --type=fileWatcher
3745976 ?        Sl     0:00 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=3745846
3746017 ?        Sl     2:06 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/extensions/ms-python.vscode-pylance-2022.8.40/dist/server.bundle.js --cancellationReceive=file:5736fa7f8f6113e3bf3decf59c4936f4f405aafbfc --node-ipc --clientProcessId=3745846
3751990 ?        Sl     0:24 /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/extensions/markdown-language-features/server/dist/node/main --node-ipc --clientProcessId=3743461
3753908 ?        I      0:03 [kworker/u162:5-flush-8:0]
3754266 ?        I      0:00 [kworker/37:1-rcu_par_gp]
3754269 ?        I      0:00 [kworker/8:0-rcu_par_gp]
3754280 ?        I      0:00 [kworker/60:1-rcu_gp]
3754328 ?        I      0:00 [kworker/34:2-rcu_gp]
3754340 ?        I      0:00 [kworker/u160:2-ipmi-msghandler-remove-]
3754455 ?        I      0:00 [kworker/18:1-events]
3754542 ?        I      0:00 [kworker/51:1-events]
3754589 ?        I      0:00 [kworker/74:1-mm_percpu_wq]
3764278 ?        I      0:00 [kworker/2:2-events]
3764476 ?        I      0:00 [kworker/77:0-rcu_par_gp]
3764509 ?        I      0:00 [kworker/78:1-rcu_par_gp]
3764510 ?        I      0:00 [kworker/79:1-mm_percpu_wq]
3764769 ?        I      0:00 [kworker/64:2-rcu_par_gp]
3764779 ?        I      0:00 [kworker/16:12-rcu_par_gp]
3764890 ?        I      0:00 [kworker/11:1-events]
3767030 ?        I      0:00 [kworker/19:0-rcu_par_gp]
3767547 ?        I      0:00 [kworker/30:2-rcu_par_gp]
3769533 pts/6    Ss     0:00 /usr/bin/bash --init-file /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3779173 ?        I      0:00 [kworker/21:1-events]
3779596 ?        I      0:00 [kworker/13:0-rcu_par_gp]
3779677 ?        I      0:00 [kworker/7:1-events]
3779758 ?        I      0:00 [kworker/27:3-events]
3780808 ?        I      0:00 [kworker/35:3-rcu_gp]
3781595 ?        I      0:00 [kworker/49:2-mm_percpu_wq]
3781787 ?        I      0:00 [kworker/73:1-rcu_par_gp]
3781854 ?        I      0:00 [kworker/4:1-events]
3781871 ?        I      0:00 [kworker/79:0-rcu_par_gp]
3781916 ?        I      0:00 [kworker/48:1-rcu_par_gp]
3782001 ?        I      0:00 [kworker/30:3-rcu_gp]
3782002 ?        I      0:00 [kworker/31:1-mm_percpu_wq]
3782003 ?        I      0:00 [kworker/51:0-events]
3782014 ?        I      0:00 [kworker/36:1-rcu_par_gp]
3782182 ?        I      0:00 [kworker/59:1-events]
3782188 ?        I      0:00 [kworker/0:2-events]
3789977 ?        I      0:00 [kworker/2:1-events]
3789997 ?        I      0:00 [kworker/43:2-rcu_par_gp]
3790194 ?        I      0:00 [kworker/63:1-mm_percpu_wq]
3790371 ?        I      0:00 [kworker/19:1-rcu_par_gp]
3791084 ?        I      0:00 [kworker/32:12-rcu_gp]
3791085 ?        I      0:00 [kworker/32:13-events]
3791112 ?        I      0:00 [kworker/0:3-rcu_par_gp]
3791333 ?        Sl     0:39 /home/2020/rdeng4/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/node /home/2020/rdeng4/.vscode-server/extensions/ms-python.vscode-pylance-2022.8.30/dist/server.bundle.js --cancellationReceive=file:69b049e1b6acb6f980554630fc1fcce78a50a8e7c4 --node-ipc --clientProcessId=3311542
3791675 ?        I      0:00 [kworker/1:3-rcu_par_gp]
3791867 ?        I      0:00 [kworker/45:2-rcu_par_gp]
3792519 pts/5    Tl     0:23 python3 timeline.py data/debug_dir/ta_1gpu_Baseline_20220825041616/ test1
3792695 ?        I      0:00 [kworker/u161:1-events_power_efficient]
3792792 ?        I      0:00 [kworker/23:2-mm_percpu_wq]
3792806 ?        I      0:00 [kworker/25:2-mm_percpu_wq]
3792810 ?        I      0:00 [kworker/28:1-mm_percpu_wq]
3794037 pts/20   Ss+    0:00 /usr/bin/bash --init-file /home/2020/ychen383/.vscode-server/bin/e4503b30fc78200f846c62cf8091b76ff5547662/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
3795123 ?        I      0:00 [kworker/9:0-mm_percpu_wq]
3795164 ?        I      0:00 [kworker/56:0-events]
3795422 ?        I      0:00 [kworker/46:1-events]
3795429 ?        I      0:00 [kworker/3:1-events]
3795442 ?        I      0:00 [kworker/62:3-mm_percpu_wq]
3795443 ?        I      0:00 [kworker/16:1-mm_percpu_wq]
3795462 ?        I      0:00 [kworker/35:0-rcu_par_gp]
3795471 ?        I      0:00 [kworker/68:0-rcu_par_gp]
3795474 ?        I      0:00 [kworker/18:2-events]
3795821 ?        I      0:00 [kworker/70:1-mm_percpu_wq]
3795836 ?        I      0:00 [kworker/38:2-rcu_par_gp]
3795949 ?        I      0:00 [kworker/36:2-mm_percpu_wq]
3795950 ?        I      0:00 [kworker/37:0-events]
3796197 ?        I      0:00 [kworker/54:12-rcu_par_gp]
3796198 ?        I      0:00 [kworker/54:13-mm_percpu_wq]
3796206 ?        I      0:00 [kworker/39:0-mm_percpu_wq]
3796222 ?        I      0:00 [kworker/71:1-rcu_gp]
3796223 ?        I      0:00 [kworker/72:0-rcu_par_gp]
3797552 ?        S      0:00 sudo /dl-bench/zdouce/mlcomns_bert/start_training.sh -g 1
3797553 ?        Sl     0:00 docker run -it --rm --gpus all -v /raid/data/bert/wiki:/wiki -v /raid/data/bert/raw-data:/raw-data -v /raid/data/bert/preproc_data:/data -v /dl-bench/zdouce/mlcomns_bert/output:/output tf-bert:latest /bin/bash train_model.sh 1 10000
3797577 ?        I      0:00 [kworker/34:0-rcu_par_gp]
3797585 ?        I      0:00 [kworker/20:0-rcu_par_gp]
3797604 ?        Sl     0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 98979494d0e3db939b4bf5bd293fb90c8a238eacf80daf80d53d3c45c8f77021 -address /run/containerd/containerd.sock
3797631 pts/0    Ss+    0:00 /bin/bash train_model.sh 1 10000
3797656 ?        I      0:00 [kworker/6:2-events]
3797692 ?        I      0:00 [kworker/50:1-events]
3797706 pts/0    Sl+   15:29 python run_pretraining.py --bert_config_file=/wiki/bert_config.json --output_dir=/output --log_dir=/output --input_file=/data/part* --nodo_eval --do_train --eval_batch_size=8 --learning_rate=0.0001 --init_checkpoint=/wiki/ckpt/model.ckpt-28252 --iterations_per_loop=1000 --max_predictions_per_seq=76 --max_seq_length=512 --num_train_steps=107538 --num_warmup_steps=10000 --optimizer=lamb --save_checkpoints_steps=6250 --start_warmup_step=0 --num_gpus=1 --train_batch_size=6
3797872 ?        S      0:00 [UVM GPU1 BH]
3797873 ?        S      0:00 [UVM GPU1 KC]
3797874 ?        S      0:00 [UVM GPU2 BH]
3797875 ?        S      0:00 [UVM GPU2 KC]
3797884 ?        S      0:00 [UVM GPU3 BH]
3797885 ?        S      0:00 [UVM GPU3 KC]
3797886 ?        S      0:00 [UVM GPU4 BH]
3797887 ?        S      0:00 [UVM GPU4 KC]
3797888 ?        S      0:00 [UVM GPU5 BH]
3797889 ?        S      0:00 [UVM GPU5 KC]
3797890 ?        S      0:00 [UVM GPU6 BH]
3797891 ?        S      0:00 [UVM GPU6 KC]
3797892 ?        S      0:00 [UVM GPU7 BH]
3797893 ?        S      0:00 [UVM GPU7 KC]
3797894 ?        S      0:00 [UVM GPU8 BH]
3797895 ?        S      0:00 [UVM GPU8 KC]
3798092 ?        I      0:00 [kworker/u161:2-rpciod]
3800694 ?        I      0:00 [kworker/40:6-rcu_par_gp]
3800699 ?        I      0:00 [kworker/44:4-mm_percpu_wq]
3800700 ?        I      0:00 [kworker/44:5-events]
3800706 ?        I      0:00 [kworker/55:5-events]
3800707 ?        I      0:00 [kworker/55:6-events]
3800711 ?        I      0:00 [kworker/47:4-events]
3800713 ?        I      0:00 [kworker/49:3-rcu_par_gp]
3800718 ?        I      0:00 [kworker/53:2-events]
3800724 ?        I      0:00 [kworker/58:2-rcu_par_gp]
3800726 ?        I      0:00 [kworker/58:4-mm_percpu_wq]
3800728 ?        I      0:00 [kworker/58:5-events]
3801376 ?        I      0:00 [kworker/72:1-mm_percpu_wq]
3801378 ?        I      0:00 [kworker/73:0-rcu_par_gp]
3801387 ?        I      0:00 [kworker/76:1-rcu_gp]
3801466 ?        I      0:00 [kworker/17:0-mm_percpu_wq]
3801467 ?        I      0:00 [kworker/3:0-events]
3801500 ?        I      0:00 [kworker/75:2-rcu_par_gp]
3801502 ?        I      0:00 [kworker/1:0-mm_percpu_wq]
3801503 ?        I      0:00 [kworker/4:0-mm_percpu_wq]
3802045 ?        I      0:00 [kworker/13:3-rcu_par_gp]
3802050 ?        I      0:00 [kworker/24:4-rcu_par_gp]
3802051 ?        I      0:00 [kworker/24:5-rcu_gp]
3802057 ?        I      0:00 [kworker/57:4-rcu_par_gp]
3802058 ?        I      0:00 [kworker/57:5-rcu_gp]
3802066 ?        I      0:00 [kworker/10:5-rcu_par_gp]
3802068 ?        I      0:00 [kworker/15:5-events]
3802069 ?        I      0:00 [kworker/10:6-rcu_gp]
3802070 ?        I      0:00 [kworker/15:6-rcu_par_gp]
3802080 ?        I      0:00 [kworker/26:7-mm_percpu_wq]
3802081 ?        I      0:00 [kworker/26:8-events]
3802089 ?        I      0:00 [kworker/41:7-events]
3802090 ?        I      0:00 [kworker/41:8-rcu_par_gp]
